host_response_time,host_listings_count,host_has_profile_pic,neighbourhood,property_type,room_type,accommodates,square_feet,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,amenities_count,amenities_premium_count,professionalism
within an hour,1.0,t,Eixample,Apartment,Entire home/apt,6,,240,3,274,10,85.0,26,4,0.7
within a day,1.0,t,Ciutat Vella,Apartment,Private room,3,,40,3,299,97,91.0,14,3,0.575
within an hour,1.0,t,Gràcia,Apartment,Private room,2,,142,3,36,130,99.0,50,19,0.4
within an hour,206.0,t,Eixample,Apartment,Entire home/apt,7,,600,2,342,11,80.0,25,3,1.0
,1.0,t,Sant Martí,House,Private room,1,,80,1,0,0,,8,1,0.15000000000000002
within an hour,19.0,t,Eixample,Apartment,Private room,2,,19,1,107,5,90.0,11,1,0.75
within an hour,7.0,t,Ciutat Vella,Loft,Entire home/apt,2,,169,1,298,81,97.0,43,16,0.8
within a few hours,34.0,t,Les Corts,Apartment,Entire home/apt,6,,150,32,107,1,80.0,21,4,0.6875
within an hour,34.0,t,Sant Martí,Apartment,Entire home/apt,4,,84,1,19,0,,29,3,0.55
within a few hours,1.0,t,Eixample,Apartment,Private room,2,,55,1,336,58,99.0,33,12,0.7375
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,1,,35,2,15,13,92.0,12,2,0.4
within a few hours,1.0,t,Sant Martí,Apartment,Private room,2,,33,2,168,64,88.0,24,4,0.5375
within an hour,6.0,t,Horta-Guinardó,Apartment,Entire home/apt,3,,40,32,298,1,80.0,12,1,0.8
